"시점",총지수,식료품 및 비주류음료,식료품 및 비주류음료,식료품 및 비주류음료,주류·담배,주류·담배,주류·담배,의복·신발,의복·신발,의복·신발,주택·수도·전기 및 연료,주택·수도·전기 및 연료,주택·수도·전기 및 연료,주택·수도·전기 및 연료,주택·수도·전기 및 연료,가정용품 및 가사서비스,가정용품 및 가사서비스,가정용품 및 가사서비스,가정용품 및 가사서비스,가정용품 및 가사서비스,가정용품 및 가사서비스,가정용품 및 가사서비스,보건,보건,보건,보건,교통,교통,교통,교통,통신,통신,통신,통신,오락 및 문화,오락 및 문화,오락 및 문화,오락 및 문화,오락 및 문화,오락 및 문화,오락 및 문화,교육,교육,교육,교육,음식 및 숙박,음식 및 숙박,음식 및 숙박,기타 상품 및 서비스,기타 상품 및 서비스,기타 상품 및 서비스,기타 상품 및 서비스
"시점",소계,소계,식료품,비주류음료,소계,주류,담배,소계,의류,신발,소계,주택임차료,주거시설 유지·보수,수도 및 주거관련 서비스,전기가스 및 기타연료,소계,가구·가사비품 및 카페트,가정용 섬유제품,가정용 기기,주방용품 및 가정용품,가정·정원용 공구 및 장비,일상 생활용품 및 가사서비스,소계,의료용품 및 장비,외래환자 서비스,병원서비스,소계,운송장비,개인운송장비 운영,운송서비스,소계,우편서비스,전화 및 팩스장비,전화 및 팩스서비스,소계,음향·영상·사진 및 정보처리 장비,기타 오락 및 문화용 주요내구재,기타 오락용품·조경용품 및 애완동물,오락 및 문화서비스,신문·서적 및 문방구,단체여행,소계,유치원 및 초등교육,고등교육,기타교육,소계,음식서비스,숙박서비스,소계,미용용품 및 미용서비스,기타 개인용품,기타 서비스
"2023. 02",109.60,114.89,114.71,117.43,103.75,108.90,100.00,107.51,107.50,107.67,109.72,103.98,117.55,119.23,133.15,110.85,117.39,110.59,102.59,117.48,112.44,115.62,102.02,99.41,105.16,99.03,109.91,105.06,115.38,105.61,100.97,109.99,98.87,101.48,106.15,98.42,103.41,108.51,107.33,105.86,113.47,104.20,78.40,99.15,106.38,115.13,115.57,106.33,113.36,114.24,105.64,114.68
"2023. 03",109.77,115.65,115.38,119.45,103.79,108.99,100.00,107.87,107.50,109.88,109.37,103.92,117.55,116.87,133.14,111.13,118.73,110.59,102.39,113.94,112.44,117.28,102.06,99.42,105.22,99.05,109.44,104.96,114.53,105.32,100.99,109.99,98.87,101.50,106.44,99.03,104.30,109.33,107.57,105.94,112.84,104.85,82.80,99.39,106.99,115.62,116.10,105.94,113.94,114.86,106.82,114.91
"2023. 04",109.94,114.89,114.53,119.94,103.82,109.05,100.00,107.87,107.50,109.88,109.42,103.90,117.66,117.27,133.14,112.08,119.83,110.59,103.14,113.69,112.79,119.21,101.64,98.44,105.23,99.06,109.90,105.50,116.13,104.69,101.00,109.99,98.87,101.51,106.98,100.16,104.22,108.12,108.17,106.50,115.30,104.84,82.80,99.39,106.97,116.65,117.06,108.22,114.73,114.83,106.86,117.37
"2023. 05",110.37,115.45,115.23,118.52,103.65,108.65,100.00,111.51,111.82,109.88,109.82,103.85,117.66,117.73,136.42,112.88,120.53,110.59,103.10,116.03,112.95,121.00,101.71,98.58,105.25,99.06,109.77,105.55,115.98,104.47,101.00,109.99,98.87,101.51,107.27,100.13,104.22,109.00,108.18,106.63,116.14,104.87,82.80,99.39,107.01,117.02,117.35,109.93,114.22,114.60,104.26,117.37
"2023. 06",110.50,116.03,115.74,120.09,104.02,109.50,100.00,111.41,111.70,109.91,110.12,103.81,117.85,117.23,139.91,112.67,120.07,110.59,103.77,115.27,114.14,119.62,102.04,99.34,105.25,99.06,108.49,105.04,112.89,104.56,101.01,109.99,98.87,101.53,107.51,99.90,109.91,107.69,108.46,107.37,116.47,104.87,82.80,99.39,107.02,117.29,117.64,109.90,114.44,114.50,106.02,117.39
"2023. 07",110.63,117.13,116.86,120.94,104.04,109.54,100.00,111.53,111.85,109.91,109.28,103.80,118.16,116.50,133.29,112.98,123.04,110.27,102.26,117.15,114.13,120.27,102.14,99.55,105.28,99.07,108.88,106.04,112.37,105.45,101.01,109.99,98.87,101.53,108.11,97.96,106.04,108.41,109.09,107.34,120.93,105.01,82.80,99.39,107.19,117.92,117.80,118.45,114.78,114.73,107.58,117.37
"2023. 08",111.69,120.71,120.77,119.98,104.02,109.51,100.00,111.63,111.97,109.91,109.43,103.79,118.36,117.68,133.28,113.42,123.15,110.27,103.02,117.92,113.49,120.75,102.31,99.87,105.30,99.06,114.63,106.02,117.85,114.02,101.02,109.99,98.87,101.54,108.37,98.66,103.99,108.18,109.09,107.39,123.18,105.04,82.80,99.39,107.22,118.46,117.98,125.29,115.23,115.26,108.41,117.49
"2023. 09",112.08,122.61,122.74,120.88,103.71,108.79,100.00,111.60,111.93,109.93,110.31,103.81,118.64,117.71,140.80,113.32,123.17,110.27,102.57,115.28,112.97,121.94,102.24,99.71,105.30,99.07,115.12,105.52,120.34,113.13,101.23,109.99,99.63,101.59,108.10,98.87,104.43,108.26,108.48,107.38,122.62,105.05,82.80,99.39,107.23,117.89,118.19,111.53,115.36,114.79,110.87,117.49
"2023. 10",112.51,123.66,123.82,121.39,104.04,109.54,100.00,112.28,112.73,109.93,110.61,103.85,118.64,119.87,140.83,113.80,123.48,110.27,103.05,116.72,111.65,122.68,102.31,99.87,105.30,99.07,117.13,108.08,121.73,115.41,101.24,109.99,99.63,101.61,108.22,99.45,103.25,107.73,108.32,107.62,124.54,105.05,82.80,99.39,107.24,118.00,118.27,112.11,115.36,115.21,109.42,117.51
"2023. 11",111.98,119.94,119.81,121.86,105.55,112.96,100.00,113.49,114.00,110.83,110.54,103.93,118.69,118.72,140.84,113.51,123.49,110.27,103.20,114.80,110.87,122.17,102.43,100.15,105.30,99.07,115.44,107.09,118.32,115.00,101.27,109.99,99.63,101.64,107.63,99.02,105.37,107.49,108.68,107.62,119.18,105.08,82.80,99.39,107.27,118.14,118.60,108.89,115.38,114.95,110.13,117.65
"2023. 12",112.25,121.60,121.63,121.22,105.46,112.76,100.00,113.54,114.00,111.13,110.69,103.94,118.70,119.93,140.82,114.09,123.49,110.27,103.61,117.05,114.56,122.36,102.46,100.30,105.23,99.07,113.99,106.47,114.80,115.09,101.28,109.99,99.63,101.65,107.88,99.07,106.82,107.87,108.99,107.62,118.96,105.09,82.80,99.39,107.28,118.73,118.81,116.18,115.73,115.62,110.13,117.65
"2024. 01",112.60,122.89,123.03,121.10,104.73,111.11,100.00,113.66,114.14,111.13,110.64,103.96,118.49,119.50,140.82,113.96,123.37,110.27,103.54,112.79,113.96,123.55,103.57,100.39,107.14,100.99,113.18,107.04,112.29,115.22,101.28,109.99,99.63,101.66,107.74,99.28,112.45,108.36,109.08,108.04,114.61,105.55,82.80,99.39,107.87,119.02,119.43,110.67,118.27,116.03,110.23,124.67
"2024. 02",113.07,124.39,124.65,120.95,104.79,111.25,100.00,113.65,114.13,111.13,110.84,104.05,118.61,120.53,140.80,114.03,124.51,110.27,103.56,109.84,113.94,124.04,103.70,100.65,107.18,100.99,114.44,109.01,114.48,115.29,101.28,109.99,99.63,101.66,109.00,99.65,115.06,110.07,109.26,108.10,119.50,105.76,82.80,99.39,108.13,119.22,119.64,110.53,118.29,116.36,110.23,124.18
"2024. 03",113.02,124.46,124.91,118.43,105.05,111.82,100.00,113.70,114.19,111.11,110.17,104.13,119.11,114.55,140.80,114.85,125.74,110.27,103.38,116.20,114.49,124.32,103.94,101.16,107.19,101.04,114.34,108.87,115.14,114.52,101.28,109.99,99.63,101.66,108.17,99.65,108.87,109.67,109.33,107.96,116.22,106.26,80.31,99.72,108.78,119.60,120.06,110.55,118.56,116.72,110.19,124.45
"2024. 04",113.37,123.67,123.97,119.60,105.29,112.39,100.00,113.63,114.19,110.68,110.97,104.18,119.00,120.74,140.83,114.96,125.74,110.27,104.00,115.27,115.32,124.05,103.97,101.28,107.15,101.04,115.12,109.33,116.68,114.75,101.28,109.99,99.63,101.66,108.93,99.31,109.05,110.02,109.60,108.15,120.49,106.67,80.31,99.72,109.30,120.18,120.58,111.89,119.01,116.60,110.36,125.96
"2024. 05",113.42,122.67,122.84,120.50,105.12,112.00,100.00,114.29,114.99,110.64,110.89,104.28,118.34,119.68,140.82,114.81,125.63,110.59,103.50,116.64,115.06,123.73,104.16,101.71,107.15,101.04,115.78,109.23,118.35,114.82,101.36,109.99,99.63,101.76,109.29,99.50,109.41,109.96,109.82,108.56,121.91,106.84,80.31,99.72,109.50,120.55,120.87,113.79,119.15,116.79,110.61,125.96
"2024. 06",113.17,120.92,121.10,118.66,105.17,112.10,100.00,114.29,114.99,110.64,111.00,104.33,116.66,120.61,140.80,114.69,125.64,110.59,102.01,116.15,113.72,125.77,104.04,101.44,107.16,101.04,114.52,109.18,114.94,114.97,101.37,109.99,99.63,101.76,109.21,99.51,110.03,110.41,110.18,109.58,118.88,106.86,80.31,99.72,109.54,120.75,121.04,114.23,119.67,117.58,110.89,126.14
"2024. 07",113.46,122.31,122.35,121.89,105.35,112.49,100.00,114.38,115.02,111.06,110.18,104.37,116.66,119.65,134.35,115.46,125.90,110.59,103.88,117.27,115.59,125.19,104.09,101.46,107.22,101.04,116.09,108.54,118.83,115.43,101.36,109.99,99.63,101.76,110.07,99.62,109.13,110.82,110.83,109.57,122.74,107.09,80.31,99.72,109.83,121.26,121.09,122.87,119.81,117.86,110.94,126.09
"2024. 08",113.94,124.12,124.28,122.02,105.17,112.12,100.00,114.46,115.02,111.48,111.03,104.51,116.75,121.94,138.52,115.42,125.91,110.59,103.51,118.44,115.93,125.12,104.16,101.55,107.29,101.04,116.50,108.47,118.66,116.57,101.37,109.99,99.63,101.76,109.99,98.25,109.24,110.09,110.83,109.68,124.18,107.32,80.31,99.72,110.12,121.51,121.05,128.13,119.24,116.72,111.13,126.09
"2024. 09",113.92,124.98,125.23,121.67,104.91,111.53,100.00,114.46,115.02,111.48,111.88,104.56,116.95,121.50,145.98,115.06,128.25,110.59,102.50,112.91,114.58,125.69,104.38,101.99,107.36,101.04,114.43,108.55,114.92,115.08,101.36,109.99,99.63,101.76,109.44,97.72,109.23,110.58,110.37,109.56,121.43,107.61,80.31,99.70,110.50,120.55,120.74,115.95,118.97,116.22,111.03,126.09
"2024. 10",114.04,124.29,124.34,123.65,105.33,112.46,100.00,114.81,115.44,111.50,112.24,104.71,117.05,123.53,146.01,115.85,126.20,110.59,103.22,120.93,114.47,126.41,104.32,101.74,107.45,101.04,113.30,107.77,112.89,114.63,101.37,109.99,99.63,101.76,109.16,96.76,108.72,110.01,111.13,109.81,118.81,107.80,80.31,99.70,110.73,121.25,121.43,116.66,120.11,118.41,111.05,126.09
"2024. 11",113.73,121.12,120.90,124.30,105.55,112.96,100.00,115.55,116.32,111.50,112.23,104.82,117.26,122.74,146.00,115.30,126.27,110.59,102.42,115.47,115.85,126.90,104.44,102.04,107.45,101.04,113.87,109.15,114.23,114.14,101.36,109.99,99.63,101.76,108.44,96.74,108.77,110.69,111.09,110.71,112.26,107.82,80.31,99.70,110.76,121.58,121.92,114.51,120.18,118.54,111.02,126.10
"2024. 12",114.24,123.93,123.71,127.05,105.17,112.12,100.00,115.56,116.32,111.50,112.35,104.88,117.26,123.33,146.01,116.17,128.14,110.59,103.21,120.22,115.78,126.28,104.47,102.10,107.45,101.04,114.35,108.03,115.34,114.74,101.39,109.99,99.63,101.79,108.91,97.80,110.51,109.96,111.00,110.45,115.67,107.91,80.31,99.70,110.86,122.09,122.33,116.59,119.56,117.52,110.46,126.12
