"시점",총지수,식료품 및 비주류음료,식료품 및 비주류음료,식료품 및 비주류음료,주류·담배,주류·담배,주류·담배,의복·신발,의복·신발,의복·신발,주택·수도·전기 및 연료,주택·수도·전기 및 연료,주택·수도·전기 및 연료,주택·수도·전기 및 연료,주택·수도·전기 및 연료,가정용품 및 가사서비스,가정용품 및 가사서비스,가정용품 및 가사서비스,가정용품 및 가사서비스,가정용품 및 가사서비스,가정용품 및 가사서비스,가정용품 및 가사서비스,보건,보건,보건,보건,교통,교통,교통,교통,통신,통신,통신,통신,오락 및 문화,오락 및 문화,오락 및 문화,오락 및 문화,오락 및 문화,오락 및 문화,오락 및 문화,교육,교육,교육,교육,음식 및 숙박,음식 및 숙박,음식 및 숙박,기타 상품 및 서비스,기타 상품 및 서비스,기타 상품 및 서비스,기타 상품 및 서비스
"시점",소계,소계,식료품,비주류음료,소계,주류,담배,소계,의류,신발,소계,주택임차료,주거시설 유지·보수,수도 및 주거관련 서비스,전기가스 및 기타연료,소계,가구·가사비품 및 카페트,가정용 섬유제품,가정용 기기,주방용품 및 가정용품,가정·정원용 공구 및 장비,일상 생활용품 및 가사서비스,소계,의료용품 및 장비,외래환자 서비스,병원서비스,소계,운송장비,개인운송장비 운영,운송서비스,소계,우편서비스,전화 및 팩스장비,전화 및 팩스서비스,소계,음향·영상·사진 및 정보처리 장비,기타 오락 및 문화용 주요내구재,기타 오락용품·조경용품 및 애완동물,오락 및 문화서비스,신문·서적 및 문방구,단체여행,소계,유치원 및 초등교육,고등교육,기타교육,소계,음식서비스,숙박서비스,소계,미용용품 및 미용서비스,기타 개인용품,기타 서비스
"2019. 12",99.61,95.99,95.82,98.26,100.02,100.05,100.00,99.83,99.91,99.37,99.93,99.41,98.83,98.42,104.05,100.05,100.15,98.80,100.74,101.60,99.99,99.07,98.65,99.48,97.84,99.14,102.31,98.21,108.30,99.54,101.38,100.00,98.24,102.13,99.47,102.40,98.89,99.09,99.48,101.06,98.17,101.33,102.51,100.51,98.75,99.61,99.71,97.07,98.39,98.95,100.58,96.66
"2020. 01",99.80,97.12,96.90,99.98,100.25,100.60,100.00,99.57,99.82,98.08,99.86,99.48,99.44,97.92,104.09,99.63,99.27,98.99,100.27,98.31,98.71,99.69,100.47,100.83,99.92,101.24,103.57,100.20,108.55,100.04,100.82,100.00,96.36,102.04,99.99,100.96,99.78,99.89,99.72,100.17,99.26,99.72,102.50,100.48,99.42,99.73,99.63,102.29,99.45,99.60,100.58,98.87
"2020. 02",99.84,96.59,96.45,98.49,100.18,100.43,100.00,99.72,99.82,99.12,100.22,99.56,99.24,100.33,104.11,100.35,100.08,98.84,100.97,103.41,99.08,99.32,100.36,101.17,99.92,99.56,103.60,101.51,108.05,99.85,100.77,100.00,96.36,101.99,99.79,100.13,99.60,100.25,99.81,100.24,96.62,99.85,102.50,100.48,99.60,99.55,99.56,99.33,99.83,99.81,100.59,99.61
"2020. 03",99.83,98.24,98.13,99.63,99.87,99.69,100.00,99.76,99.87,99.10,100.31,99.65,99.44,100.43,104.10,99.72,100.09,98.84,99.96,99.54,99.34,99.50,100.36,101.05,99.86,100.06,101.28,98.60,104.27,99.57,100.73,100.00,96.36,101.94,99.28,99.36,100.28,99.01,99.83,99.92,95.15,99.94,102.50,100.10,99.81,99.42,99.55,96.18,99.86,99.77,100.95,99.61
"2020. 04",99.61,98.00,97.79,100.68,99.76,99.42,100.00,99.36,99.85,96.36,100.29,99.73,99.54,99.92,104.05,99.82,99.50,98.84,100.23,100.58,99.07,99.58,100.41,101.07,99.95,100.06,98.79,98.57,98.24,99.56,101.33,100.00,99.36,101.87,99.72,99.36,98.71,99.43,99.79,100.02,100.54,99.99,102.50,100.10,99.87,99.51,99.63,96.76,99.32,98.95,98.00,100.26
"2020. 05",99.65,98.45,98.27,100.83,99.90,99.76,100.00,99.94,100.04,99.32,100.19,99.87,99.54,98.33,104.01,100.25,100.09,98.84,99.93,103.97,98.61,100.22,100.45,101.11,100.02,100.06,97.12,98.84,93.99,99.58,101.28,100.00,99.36,101.81,100.15,101.44,97.95,100.35,99.57,100.09,100.37,99.88,98.75,100.10,99.86,99.74,99.79,98.65,99.81,99.41,100.14,100.24
"2020. 06",99.91,99.18,99.07,100.61,100.00,99.99,100.00,99.95,100.05,99.32,100.31,99.93,99.74,98.87,104.04,99.68,99.51,101.29,100.22,95.87,98.77,100.01,100.85,102.12,100.02,100.06,98.22,98.88,96.61,99.63,101.84,100.00,102.22,101.74,99.96,101.04,97.61,99.96,100.00,100.05,97.15,99.90,98.75,100.10,99.89,99.83,99.90,97.99,100.04,100.06,99.30,100.25
"2020. 07",99.74,99.63,99.55,100.63,100.03,100.06,100.00,100.25,100.05,101.45,98.81,100.01,100.08,99.56,90.91,99.83,99.58,101.03,99.96,99.29,99.41,99.77,99.90,99.72,100.00,100.06,99.71,101.01,98.69,100.02,101.75,100.00,102.22,101.63,100.27,100.19,100.65,99.94,100.09,99.88,103.22,99.90,98.75,100.10,99.88,100.11,99.95,104.00,100.05,99.91,100.02,100.25
"2020. 08",100.27,102.16,102.39,99.19,99.97,99.92,100.00,100.25,100.06,101.45,99.07,100.13,100.28,100.92,90.91,100.20,100.07,100.79,99.87,102.64,99.12,100.01,99.68,99.08,100.07,100.06,100.05,100.76,99.13,100.66,101.69,100.00,102.22,101.54,100.78,99.62,101.30,99.87,100.43,99.83,110.30,99.97,98.75,100.10,99.98,100.42,99.99,110.82,100.10,100.05,99.80,100.26
"2020. 09",100.70,104.47,104.86,99.39,100.06,100.15,100.00,100.29,100.10,101.45,99.99,100.21,100.48,100.19,98.44,99.62,100.60,100.70,98.82,97.34,100.48,100.38,99.29,98.21,100.07,99.71,99.63,100.27,98.79,100.19,101.61,100.00,102.22,101.45,100.02,99.11,101.16,100.36,99.89,100.03,102.09,100.06,98.75,99.61,100.22,100.19,100.24,98.92,100.93,101.36,101.22,100.26
"2020. 10",100.23,104.53,104.83,100.56,100.12,100.30,100.00,100.19,99.98,101.45,100.27,100.33,100.73,101.69,98.44,100.50,99.95,100.70,99.93,102.75,100.67,100.86,99.52,98.74,100.12,99.71,99.45,100.76,98.03,100.24,87.58,100.00,101.29,83.77,100.39,100.37,100.92,100.55,99.85,99.84,104.36,100.11,98.75,99.61,100.29,100.54,100.61,98.85,100.14,100.33,99.42,100.13
"2020. 11",100.14,100.88,100.89,100.73,99.94,99.86,100.00,100.32,100.14,101.45,100.27,100.48,100.73,100.77,98.43,100.05,101.18,100.70,99.68,97.09,101.39,100.36,99.41,98.57,100.03,99.72,99.03,100.61,97.08,100.23,99.86,100.00,101.29,99.47,99.87,99.26,101.11,100.48,100.50,99.79,95.50,100.32,98.75,99.61,100.56,100.35,100.48,97.00,100.26,100.16,101.04,100.13
"2020. 12",100.27,100.75,100.86,99.26,99.92,99.82,100.00,100.40,100.23,101.45,100.40,100.61,100.73,101.08,98.46,100.36,100.10,100.45,100.16,99.21,105.37,100.32,99.31,98.32,100.03,99.72,99.56,99.98,98.57,100.43,100.75,100.00,100.76,100.75,99.78,99.14,100.96,99.90,100.54,100.14,95.43,100.35,98.75,99.61,100.60,100.60,100.65,99.23,100.20,100.59,98.92,100.13
"2021. 01",100.86,102.79,103.00,100.04,100.14,100.33,100.00,100.26,100.22,100.55,100.34,100.72,100.73,101.02,97.39,100.92,100.54,100.45,100.98,100.60,105.31,100.54,100.17,98.25,101.49,101.17,101.17,100.72,101.88,100.63,99.30,100.00,93.74,100.83,99.99,98.96,99.70,100.18,100.61,100.15,97.88,100.57,98.75,99.61,100.89,101.03,101.17,97.65,101.42,100.93,99.63,102.66
"2021. 02",101.33,105.05,105.45,99.68,100.22,100.53,100.00,100.34,100.15,101.46,100.76,100.87,100.91,103.41,97.39,100.63,99.93,100.96,100.30,100.49,105.50,100.71,100.14,98.18,101.49,101.19,101.74,100.68,103.27,100.68,99.34,100.00,93.60,100.91,99.95,99.42,98.76,100.39,100.43,100.04,96.84,100.71,98.75,99.61,101.07,101.18,101.30,98.24,101.11,100.47,98.92,102.69
"2021. 03",101.57,105.33,105.59,101.89,99.91,99.78,100.00,100.37,100.19,101.47,101.11,101.08,101.71,104.75,97.43,100.05,98.35,100.96,99.52,99.67,105.46,100.83,100.22,98.37,101.49,101.16,102.82,101.61,105.49,100.53,99.40,100.00,93.60,101.00,99.74,98.87,99.32,100.08,100.75,100.03,94.06,100.85,96.98,99.75,101.27,101.52,101.77,95.44,101.36,100.58,100.10,102.81
"2021. 04",101.68,104.87,105.12,101.50,100.85,102.04,100.00,100.32,100.30,100.40,101.07,101.23,103.05,103.34,97.42,100.16,98.51,100.96,99.76,98.53,105.73,101.13,99.99,98.37,101.53,99.45,103.39,101.56,106.73,100.74,99.41,100.00,93.60,101.00,100.38,99.48,101.43,99.73,100.91,99.92,101.90,100.95,96.98,99.75,101.40,102.07,102.28,97.01,101.97,101.18,98.73,104.10
"2021. 05",101.74,104.69,104.88,102.15,100.82,101.98,100.00,100.45,100.29,101.46,101.32,101.37,104.05,104.24,97.45,100.97,100.96,101.12,99.56,103.31,105.40,101.40,99.68,97.57,101.53,99.45,103.37,101.15,106.86,100.79,98.99,100.00,91.75,100.97,100.45,98.72,100.78,99.17,101.12,100.26,104.63,100.93,96.98,99.75,101.38,102.22,102.38,98.54,101.98,100.95,99.60,104.13
