"일련번호","시장/마트 번호","시장/마트 이름","품목 번호","품목 이름","실판매규격","가격(원)","년도-월","비고","시장유형 구분(시장/마트) 코드","시장유형 구분(시장/마트) 이름","자치구 코드","자치구 이름","점검일자"
"1621162","1","통인시장","309","양파(1.5kg망)","1kg","2000","2020-12","국내산,무안","001","전통시장","110000","종로구","2020-12-21"
"1628949","228","방배종합시장","277","호박","1개268g","1500","2020-12","국내산/인큐베이터","001","전통시장","650000","서초구","2020-12-21"
"1626799","51","NC백화점 불광점","18","닭고기","1마리(1kg)","8990","2020-12","올품 토종","002","대형마트","380000","은평구","2020-12-21"
"1630920","223","홈플러스 목동점","278","쇠고기","600g","35982","2020-12","국내산(음성)농협","002","대형마트","470000","양천구","2020-12-21"
"1622882","1","통인시장","309","양파(1.5kg망)","1kg","2000","2020-12","국내산,무안","001","전통시장","110000","종로구","2020-12-21"
"1630919","223","홈플러스 목동점","278","쇠고기","100g","5997","2020-12","국내산(음성)농협","002","대형마트","470000","양천구","2020-12-21"
"1622883","1","통인시장","310","상추(100g)","400g","3000","2020-12","국내산,적상추","001","전통시장","110000","종로구","2020-12-21"
"1630916","223","홈플러스 목동점","23","상추","100g","895","2020-12","국내산","002","대형마트","470000","양천구","2020-12-21"
"1622885","1","통인시장","119","호박(인큐베이터)","1개","1000","2020-12","국내산,","001","전통시장","110000","종로구","2020-12-21"
"1630915","223","홈플러스 목동점","24","양파","한망(1.8kg)","4490","2020-12","국내산","002","대형마트","470000","양천구","2020-12-21"
"1626797","51","NC백화점 불광점","278","쇠고기","600g","27540","2020-12","음성축공 불고기","002","대형마트","380000","은평구","2020-12-21"
"1630914","223","홈플러스 목동점","25","무","1개(1.4kg)","1600","2020-12","국내산","002","대형마트","470000","양천구","2020-12-21"
"1622886","1","통인시장","58","쇠고기(한우,불고기)","600g2등급","23000","2020-12","국내산,홍성","001","전통시장","110000","종로구","2020-12-21"
"1630913","223","홈플러스 목동점","26","배추","한포기(3.2kg)","2490","2020-12","국내산","002","대형마트","470000","양천구","2020-12-21"
"1628439","51","NC백화점 불광점","253","오징어","1마리(420g)","6990","2020-12","국내산,생물","002","대형마트","380000","은평구","2020-12-21"
"1630912","223","홈플러스 목동점","27","배","1개","3997","2020-12","국내산(나주)","002","대형마트","470000","양천구","2020-12-21"
"1622887","1","통인시장","99","돼지고기(생삼겹살)","600g","16000","2020-12","국내산,이천","001","전통시장","110000","종로구","2020-12-21"
"1630911","223","홈플러스 목동점","28","사과","1개","2598","2020-12","국내산(청원)","002","대형마트","470000","양천구","2020-12-21"
"1622888","1","통인시장","283","닭고기(육계)","1마리(1200g)","6000","2020-12","국내산,하림","001","전통시장","110000","종로구","2020-12-21"
"1627068","223","홈플러스 목동점","13","고등어","1마리","2490","2020-12","국내산(부산)","002","대형마트","470000","양천구","2020-12-21"
"1622889","1","통인시장","171","달걀(10개)","10개(600g)","2000","2020-12","국내산,.특란","001","전통시장","110000","종로구","2020-12-21"
"1627067","223","홈플러스 목동점","253","오징어","1마리","6990","2020-12","국내산(속초)","002","대형마트","470000","양천구","2020-12-21"
"1623634","51","NC백화점 불광점","320","달걀(30개)","30개(1800g)","5990","2020-12","특란 판란","002","대형마트","380000","은평구","2020-12-21"
"1627066","223","홈플러스 목동점","288","동태","1마리","2990","2020-12","수입산(러시아)","002","대형마트","470000","양천구","2020-12-21"
"1628438","51","NC백화점 불광점","302","명태","1마리(600g)","5990","2020-12","수입산,러시아,냉동","002","대형마트","380000","은평구","2020-12-21"
"1622028","223","홈플러스 목동점","13","고등어","1마리","2495","2020-12","국내산(부산)생물","002","대형마트","470000","양천구","2020-12-21"
"1628437","51","NC백화점 불광점","303","조기","1마리(110g)","1660","2020-12","국내산,참조기","002","대형마트","380000","은평구","2020-12-21"
"1622027","223","홈플러스 목동점","253","오징어","1마리","6990","2020-12","국내산,생물","002","대형마트","470000","양천구","2020-12-21"
"1622890","1","통인시장","320","달걀(30개)","30개(1800g)","5000","2020-12","국내산,.특란","001","전통시장","110000","종로구","2020-12-21"
"1622026","223","홈플러스 목동점","288","동태","1마리","3990","2020-12","수입산(러시아)","002","대형마트","470000","양천구","2020-12-21"
"1625290","51","NC백화점 불광점","304","고등어","1마리(350g)","5990","2020-12","국내산,생물","002","대형마트","380000","은평구","2020-12-21"
"1622025","223","홈플러스 목동점","303","조기","1마리","3690","2020-12","수입산,부세","002","대형마트","470000","양천구","2020-12-21"
"1622891","1","통인시장","260","조기(냉동,수입산)","1마리","4000","2020-12","수입,부세반건조","001","전통시장","110000","종로구","2020-12-21"
"1622024","223","홈플러스 목동점","320","달걀(30개)","30개","4290","2020-12","국내산,신선대란","002","대형마트","470000","양천구","2020-12-21"
"1628436","51","NC백화점 불광점","320","달걀(30개)","30개(1.8kg)","4990","2020-12","국내산,신선특란","002","대형마트","380000","은평구","2020-12-21"
"1622023","223","홈플러스 목동점","171","달걀(10개)","10개","2990","2020-12","국내산,신선특란","002","대형마트","470000","양천구","2020-12-21"
"1622892","1","통인시장","152","명태(러시아,냉동)","1마리","2500","2020-12","수입 러시아 냉동","001","전통시장","110000","종로구","2020-12-21"
"1622022","223","홈플러스 목동점","18","닭고기","1kg","6495","2020-12","국내산,하림","002","대형마트","470000","양천구","2020-12-21"
"1621761","51","NC백화점 불광점","320","달걀(30개)","30개(1.8kg)","5990","2020-12","국내산,신선특란","002","대형마트","380000","은평구","2020-12-21"
"1622021","223","홈플러스 목동점","285","돼지고기","600g","11340","2020-12","국내산,일품포크","002","대형마트","470000","양천구","2020-12-21"
"1621751","51","NC백화점 불광점","26","배추","1포기(1.5kg)","3300","2020-12","국내산,신선배추","002","대형마트","380000","은평구","2020-12-21"
"1622020","223","홈플러스 목동점","285","돼지고기","100g","1890","2020-12","국내산,일품포크","002","대형마트","470000","양천구","2020-12-21"
"1622893","1","통인시장","254","오징어(생물,국산)","1마리","6000","2020-12","국내산,생물","001","전통시장","110000","종로구","2020-12-21"
"1622019","223","홈플러스 목동점","278","쇠고기","600g","35982","2020-12","국내산(음성)농협","002","대형마트","470000","양천구","2020-12-21"
"1622894","1","통인시장","266","고등어(생물,국산)","1마리","4000","2020-12","국내산","001","전통시장","110000","종로구","2020-12-21"
"1622018","223","홈플러스 목동점","278","쇠고기","100g","5997","2020-12","국내산(음성)농협","002","대형마트","470000","양천구","2020-12-21"
"1626243","1","통인시장","320","달걀(30개)","30개(1800g)","5000","2020-12","국내산,특란","001","전통시장","110000","종로구","2020-12-21"
