"일련번호","시장/마트 번호","시장/마트 이름","품목 번호","품목 이름","실판매규격","가격(원)","년도-월","비고","시장유형 구분(시장/마트) 코드","시장유형 구분(시장/마트) 이름","자치구 코드","자치구 이름","점검일자"
"1496335","116","홈플러스 시흥점","311","오이(다다기)","1개","1190","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1499702","115","남문시장","202","돼지고기(생삼겹살)","1등급(600g)","12500","2019-12","국산","001","전통시장","545000","금천구","2019-12-30"
"1503366","115","남문시장","310","상추(100g)","1개","800","2019-12","국산","001","전통시장","545000","금천구","2019-12-30"
"1499701","115","남문시장","58","쇠고기(한우,불고기)","1등급(600g)","23000","2019-12","국산","001","전통시장","545000","금천구","2019-12-30"
"1503365","115","남문시장","309","양파(1.5kg망)","1개","2500","2019-12","국산","001","전통시장","545000","금천구","2019-12-30"
"1499700","115","남문시장","119","호박(인큐베이터)","1개","1500","2019-12","국산","001","전통시장","545000","금천구","2019-12-30"
"1494661","115","남문시장","260","조기(냉동,수입산)","1마리(25cm)","2000","2019-12","중국산","001","전통시장","545000","금천구","2019-12-30"
"1499699","115","남문시장","311","오이(다다기)","1개","700","2019-12","국산","001","전통시장","545000","금천구","2019-12-30"
"1503369","115","남문시장","58","쇠고기(한우,불고기)","1등급(600g)","23000","2019-12","국산","001","전통시장","545000","금천구","2019-12-30"
"1499698","115","남문시장","310","상추(100g)","1개","800","2019-12","국산","001","전통시장","545000","금천구","2019-12-30"
"1503371","115","남문시장","283","닭고기(육계)","1마리(1kg)","6500","2019-12","국산","001","전통시장","545000","금천구","2019-12-30"
"1494638","116","홈플러스 시흥점","119","호박(인큐베이터)","1개","1540","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1503370","115","남문시장","202","돼지고기(생삼겹살)","1등급(600g)","12500","2019-12","국산","001","전통시장","545000","금천구","2019-12-30"
"1494639","116","홈플러스 시흥점","58","쇠고기(한우,불고기)","1등급(600g)","26940","2019-12","농협안심한우","002","대형마트","545000","금천구","2019-12-30"
"1503368","115","남문시장","119","호박(인큐베이터)","1개","1500","2019-12","국산","001","전통시장","545000","금천구","2019-12-30"
"1494640","116","홈플러스 시흥점","202","돼지고기(생삼겹살)","1등급(600g)","14940","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1499682","116","홈플러스 시흥점","311","오이(다다기)","1개","1190","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1494641","116","홈플러스 시흥점","283","닭고기(육계)","1마리(1kg)","7500","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1506594","114","현대시장","309","양파(1.5kg망)","1개","3000","2019-12","국산","001","전통시장","545000","금천구","2019-12-30"
"1494642","116","홈플러스 시흥점","171","달걀(10개)","10개","2680","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1506544","116","홈플러스 시흥점","310","상추(100g)","1개","990","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1494643","116","홈플러스 시흥점","320","달걀(30개)","30개","5790","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1496333","116","홈플러스 시흥점","309","양파(1.5kg망)","1개","3190","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1494644","116","홈플러스 시흥점","136","조기(국산,생물)","1마리(25cm)","5490","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1501315","116","홈플러스 시흥점","58","쇠고기(한우,불고기)","1등급(600g)","26940","2019-12","농협안심한우","002","대형마트","545000","금천구","2019-12-30"
"1494645","116","홈플러스 시흥점","264","명태(냉동,수입산)","1마리(45cm)","1350","2019-12","러시아","002","대형마트","545000","금천구","2019-12-30"
"1499692","116","홈플러스 시흥점","318","고등어(30cm,수입산)","1마리(25cm)","2490","2019-12","노르웨이","002","대형마트","545000","금천구","2019-12-30"
"1494637","116","홈플러스 시흥점","311","오이(다다기)","1개","1190","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1503344","116","홈플러스 시흥점","305","사과(부사, 300g)","1개","1980","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1503359","116","홈플러스 시흥점","254","오징어(생물,국산)","1마리(25cm)","4490","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1503377","115","남문시장","266","고등어(생물,국산)","1마리(25cm)","2000","2019-12","국산","001","전통시장","545000","금천구","2019-12-30"
"1503358","116","홈플러스 시흥점","264","명태(냉동,수입산)","1마리(45cm)","1350","2019-12","러시아","002","대형마트","545000","금천구","2019-12-30"
"1503376","115","남문시장","254","오징어(생물,국산)","1마리(25cm)","4500","2019-12","국산","001","전통시장","545000","금천구","2019-12-30"
"1503357","116","홈플러스 시흥점","136","조기(국산,생물)","1마리(25cm)","5490","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1503375","115","남문시장","152","명태(러시아,냉동)","1마리(45cm)","2500","2019-12","러시아","001","전통시장","545000","금천구","2019-12-30"
"1503356","116","홈플러스 시흥점","320","달걀(30개)","30개","5790","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1501330","115","남문시장","311","오이(다다기)","1개","700","2019-12","국산","001","전통시장","545000","금천구","2019-12-30"
"1499687","116","홈플러스 시흥점","171","달걀(10개)","10개","2680","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1503349","116","홈플러스 시흥점","310","상추(100g)","1개","990","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1504784","116","홈플러스 시흥점","320","달걀(30개)","30개","5790","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1506540","116","홈플러스 시흥점","306","배(신고, 600g)","1개","3000","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1504783","116","홈플러스 시흥점","171","달걀(10개)","10개","2680","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1506549","116","홈플러스 시흥점","283","닭고기(육계)","1마리(1kg)","7000","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1499684","116","홈플러스 시흥점","58","쇠고기(한우,불고기)","1등급(600g)","26940","2019-12","농협안심한우","002","대형마트","545000","금천구","2019-12-30"
"1506548","116","홈플러스 시흥점","202","돼지고기(생삼겹살)","1등급(600g)","13940","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1504782","116","홈플러스 시흥점","283","닭고기(육계)","1마리(1kg)","7000","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1496329","116","홈플러스 시흥점","305","사과(부사, 300g)","1개","1980","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1504781","116","홈플러스 시흥점","202","돼지고기(생삼겹살)","1등급(600g)","13940","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1501329","115","남문시장","310","상추(100g)","1개","700","2019-12","국산","001","전통시장","545000","금천구","2019-12-30"
"1497903","116","홈플러스 시흥점","171","달걀(10개)","10개","2680","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1504834","114","현대시장","171","달걀(10개)","10개","2000","2019-12","국산","001","전통시장","545000","금천구","2019-12-30"
"1506551","116","홈플러스 시흥점","320","달걀(30개)","30개","5790","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1506596","114","현대시장","311","오이(다다기)","1개","800","2019-12","국산","001","전통시장","545000","금천구","2019-12-30"
"1506545","116","홈플러스 시흥점","311","오이(다다기)","1개","1190","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1499691","116","홈플러스 시흥점","254","오징어(생물,국산)","1마리(25cm)","4490","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1501320","116","홈플러스 시흥점","136","조기(국산,생물)","1마리(25cm)","5490","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1504788","116","홈플러스 시흥점","318","고등어(30cm,수입산)","1마리(25cm)","2490","2019-12","노르웨이","002","대형마트","545000","금천구","2019-12-30"
"1501321","116","홈플러스 시흥점","264","명태(냉동,수입산)","1마리(45cm)","1350","2019-12","러시아","002","대형마트","545000","금천구","2019-12-30"
"1501328","115","남문시장","309","양파(1.5kg망)","1개","2500","2019-12","국산","001","전통시장","545000","금천구","2019-12-30"
"1501322","116","홈플러스 시흥점","254","오징어(생물,국산)","1마리(25cm)","4490","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1503396","114","현대시장","306","배(신고, 600g)","1개","3000","2019-12","국산","001","전통시장","545000","금천구","2019-12-30"
"1501323","116","홈플러스 시흥점","318","고등어(30cm,수입산)","1마리(25cm)","2490","2019-12","노르웨이","002","대형마트","545000","금천구","2019-12-30"
"1497918","115","남문시장","202","돼지고기(생삼겹살)","1등급(600g)","12500","2019-12","국산","001","전통시장","545000","금천구","2019-12-30"
"1503352","116","홈플러스 시흥점","58","쇠고기(한우,불고기)","1등급(600g)","26940","2019-12","농협안심한우","002","대형마트","545000","금천구","2019-12-30"
"1501331","115","남문시장","119","호박(인큐베이터)","1개","1500","2019-12","국산","001","전통시장","545000","금천구","2019-12-30"
"1503351","116","홈플러스 시흥점","119","호박(인큐베이터)","1개","1540","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1501333","115","남문시장","202","돼지고기(생삼겹살)","1등급(600g)","12500","2019-12","국산","001","전통시장","545000","금천구","2019-12-30"
"1503353","116","홈플러스 시흥점","202","돼지고기(생삼겹살)","1등급(600g)","13940","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1497914","115","남문시장","310","상추(100g)","1개","800","2019-12","국산","001","전통시장","545000","금천구","2019-12-30"
"1503354","116","홈플러스 시흥점","283","닭고기(육계)","1마리(1kg)","7000","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1503373","115","남문시장","320","달걀(30개)","30개","4500","2019-12","국산","001","전통시장","545000","금천구","2019-12-30"
"1503355","116","홈플러스 시흥점","171","달걀(10개)","10개","2680","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1497915","115","남문시장","311","오이(다다기)","1개","700","2019-12","국산","001","전통시장","545000","금천구","2019-12-30"
"1501354","222","홈플러스 독산점","136","조기(국산,생물)","1마리(25cm)","5490","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1499683","116","홈플러스 시흥점","119","호박(인큐베이터)","1개","1540","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
"1501353","222","홈플러스 독산점","320","달걀(30개)","30개","5790","2019-12","국산","002","대형마트","545000","금천구","2019-12-30"
