"일련번호","시장/마트 번호","시장/마트 이름","품목 번호","품목 이름","실판매규격","가격(원)","년도-월","비고","시장유형 구분(시장/마트) 코드","시장유형 구분(시장/마트) 이름","자치구 코드","자치구 이름","점검일자"
"1721871";"55";"광장시장";"305";"사과(부사, 300g)";"1개";"3000";"2022-01";"국내산,청송사과";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721872";"55";"광장시장";"306";"배(신고, 600g)";"1개";"5000";"2022-01";"국내산,신고배";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721873";"55";"광장시장";"307";"배추(2.5~3kg)";"1포기";"6000";"2022-01";"국내산,통배추";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721874";"55";"광장시장";"133";"무(세척무)";"1개";"2000";"2022-01";"국내산,잎없는것";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721875";"55";"광장시장";"24";"양파";"1망 1.5kg";"3000";"2022-01";"국내산,무안";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721876";"55";"광장시장";"310";"상추(100g)";"100g";"1000";"2022-01";"국내산,적상추";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721877";"55";"광장시장";"311";"오이(다다기)";"1개";"700";"2022-01";"국내산,백오이";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721878";"55";"광장시장";"119";"호박(인큐베이터)";"1개";"2000";"2022-01";"국내산,인큐베이터";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721879";"55";"광장시장";"58";"쇠고기(한우,불고기)";"100g";"6000";"2022-01";"국내산,한우불고기1등급";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721880";"55";"광장시장";"99";"돼지고기(생삼겹살)";"100g";"2800";"2022-01";"국내산,삼겹살";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721881";"55";"광장시장";"283";"닭고기(육계)";"1마리";"6000";"2022-01";"국내산,하림";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721882";"55";"광장시장";"171";"달걀(10개)";"10개";"2000";"2022-01";"국내산,특란";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721883";"55";"광장시장";"320";"달걀(30개)";"30개";"6000";"2022-01";"국내산,특란";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721884";"55";"광장시장";"260";"조기(냉동,수입산)";"1마리";"6000";"2022-01";"수입,부세";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721885";"55";"광장시장";"265";"명태(생물,수입산)";"1마리";"7000";"2022-01";"수입,생태";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721886";"55";"광장시장";"254";"오징어(생물,국산)";"1마리";"5000";"2022-01";"국내산,생물";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721887";"55";"광장시장";"266";"고등어(생물,국산)";"1마리";"5000";"2022-01";"국내산,생물";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721888";"1";"통인시장";"305";"사과(부사, 300g)";"1개";"2000";"2022-01";"국내산,예산";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721889";"1";"통인시장";"306";"배(신고, 600g)";"1개";"4000";"2022-01";"국내산,신고배";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721890";"1";"통인시장";"307";"배추(2.5~3kg)";"1포기";"5000";"2022-01";"국내산,통배추";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721891";"1";"통인시장";"133";"무(세척무)";"1개";"2000";"2022-01";"국내산,잎없는것";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721892";"1";"통인시장";"309";"양파(1.5kg망)";"1망(1.5kg)";"3000";"2022-01";"국내산,무안";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721893";"1";"통인시장";"310";"상추(100g)";"100g";"1000";"2022-01";"국내산,적상추";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721894";"1";"통인시장";"22";"오이";"1개";"700";"2022-01";"국내산,백오이";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721895";"1";"통인시장";"119";"호박(인큐베이터)";"1개";"2000";"2022-01";"국내산,인큐베이터";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721896";"1";"통인시장";"58";"쇠고기(한우,불고기)";"100g";"4000";"2022-01";"국내산,불고기2등급";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721897";"1";"통인시장";"99";"돼지고기(생삼겹살)";"100g";"3000";"2022-01";"국내산,삼겹살";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721898";"1";"통인시장";"283";"닭고기(육계)";"1마리";"6000";"2022-01";"국내산,생닭,하림";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721899";"1";"통인시장";"171";"달걀(10개)";"10개";"2500";"2022-01";"국내산,특란";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721900";"1";"통인시장";"320";"달걀(30개)";"30개";"7000";"2022-01";"국내산,특란";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721901";"1";"통인시장";"260";"조기(냉동,수입산)";"1마리";"6000";"2022-01";"수입,부세";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721902";"1";"통인시장";"265";"명태(생물,수입산)";"1마리";"7000";"2022-01";"수입,생태";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721903";"1";"통인시장";"254";"오징어(생물,국산)";"1마리";"5000";"2022-01";"국내,생물";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721904";"1";"통인시장";"266";"고등어(생물,국산)";"1마리";"5000";"2022-01";"국내,생물";"2022-01-27";"001";"전통시장";"110000";"종로구"
"1721905";"56";"롯데백화점";"50";"사과(부사)";"1개";"4000";"2022-01";"국내산,GAP,사과";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721906";"56";"롯데백화점";"306";"배(신고, 600g)";"1개";"9000";"2022-01";"국내산,신고배";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721907";"56";"롯데백화점";"26";"배추";"1포기";"5000";"2022-01";"국내산,쌈배추600g";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721908";"56";"롯데백화점";"282";"무(세척무)";"1개";"2980";"2022-01";"국내산,잎없는것";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721909";"56";"롯데백화점";"309";"양파(1.5kg망)";"1망 1.5kg";"6580";"2022-01";"국내산,양파8알";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721910";"56";"롯데백화점";"310";"상추(100g)";"100g";"2800";"2022-01";"국내산,적상추";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721911";"56";"롯데백화점";"311";"오이(다다기)";"1개";"1490";"2022-01";"국내산,백오이";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721912";"56";"롯데백화점";"312";"애호박";"1개";"2980";"2022-01";"국내산,인큐애호박";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721913";"56";"롯데백화점";"58";"쇠고기(한우,불고기)";"100g";"6500";"2022-01";"국내산,횡성설도1등급불고기";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721914";"56";"롯데백화점";"99";"돼지고기(생삼겹살)";"100g";"4190";"2022-01";"국내산,돈육삼겹살";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721915";"56";"롯데백화점";"283";"닭고기(육계)";"1kg";"12000";"2022-01";"국내산,하림1050g12930원";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721916";"56";"롯데백화점";"171";"달걀(10개)";"10개";"6980";"2022-01";"국내산,동물복지목초란";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721917";"56";"롯데백화점";"320";"달걀(30개)";"30개";"10800";"2022-01";"국내산,자연란대란";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721918";"56";"롯데백화점";"258";"조기(생물,국산)";"1마리";"4000";"2022-01";"국내산,영광범성포참굴비";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721919";"56";"롯데백화점";"302";"명태";"1마리";"0";"2022-01";"미입고";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721920";"56";"롯데백화점";"254";"오징어(생물,국산)";"1마리";"9800";"2022-01";"국내산,생물30cm";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721921";"56";"롯데백화점";"266";"고등어(생물,국산)";"1마리";"8900";"2022-01";"국내산,생물25cm";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721922";"2";"신세계백화점";"305";"사과(부사, 300g)";"1개";"4500";"2022-01";"국내산,저탄소사과";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721923";"2";"신세계백화점";"306";"배(신고, 600g)";"1개";"6600";"2022-01";"국내산,신고배";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721924";"2";"신세계백화점";"307";"배추(2.5~3kg)";"1포기";"8000";"2022-01";"국내산,통배추";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721925";"2";"신세계백화점";"133";"무(세척무)";"1개";"3500";"2022-01";"국내산,잎없는것";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721926";"2";"신세계백화점";"309";"양파(1.5kg망)";"1망 1.5kg";"5835";"2022-01";"국내산,양파5개1kg3890원";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721927";"2";"신세계백화점";"310";"상추(100g)";"100g";"2654";"2022-01";"국내산,여유농적상추150g3980원";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721928";"2";"신세계백화점";"311";"오이(다다기)";"1개";"2250";"2022-01";"국내산,백오이(2개)4500";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721929";"2";"신세계백화점";"119";"호박(인큐베이터)";"1개";"2980";"2022-01";"국내산,인큐애호박";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721930";"2";"신세계백화점";"58";"쇠고기(한우,불고기)";"100g";"6400";"2022-01";"국내산,부위혼합행사6400~4800";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721931";"2";"신세계백화점";"99";"돼지고기(생삼겹살)";"100g";"3880";"2022-01";"국내산,선진포크";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721932";"2";"신세계백화점";"283";"닭고기(육계)";"1마리(1kg)";"12000";"2022-01";"국내산,하림830g9900원";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721933";"2";"신세계백화점";"171";"달걀(10개)";"10개";"7480";"2022-01";"국내산,동물복지유정란";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721934";"2";"신세계백화점";"320";"달걀(30개)";"30개";"17360";"2022-01";"국내산,동물복지목초란";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721935";"2";"신세계백화점";"259";"조기(냉동,국산)";"1마리";"11000";"2022-01";"국내산,백조기23cm";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721936";"2";"신세계백화점";"302";"명태";"1마리";"0";"2022-01";"미입고";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721937";"2";"신세계백화점";"254";"오징어(생물,국산)";"1마리";"7800";"2022-01";"국내산,생물30cm";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721938";"2";"신세계백화점";"266";"고등어(생물,국산)";"1마리";"7800";"2022-01";"국내산,생물25cm";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721939";"8";"롯데마트 서울역점";"305";"사과(부사, 300g)";"1개";"2300";"2022-01";"국내,충주6개,13900";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721940";"8";"롯데마트 서울역점";"306";"배(신고, 600g)";"1개";"4400";"2022-01";"국내,신고";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721941";"8";"롯데마트 서울역점";"271";"배추(중간)";"1통";"3290";"2022-01";"국내,알베기";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721942";"8";"롯데마트 서울역점";"133";"무(세척무)";"1개";"1590";"2022-01";"국내,제주";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721943";"8";"롯데마트 서울역점";"309";"양파(1.5kg망)";"1망(1.5kg)";"3490";"2022-01";"국내,1.5kg1망";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721944";"8";"롯데마트 서울역점";"310";"상추(100g)";"100g";"790";"2022-01";"국내,적상추1봉(200g)1580";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721945";"8";"롯데마트 서울역점";"311";"오이(다다기)";"1개";"1390";"2022-01";"국내,다다기";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721946";"8";"롯데마트 서울역점";"118";"호박(인큐베이터),중간";"1개";"2290";"2022-01";"국내,인큐베이터";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721947";"8";"롯데마트 서울역점";"58";"쇠고기(한우,불고기)";"100g";"5280";"2022-01";"국내,불고기";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721948";"8";"롯데마트 서울역점";"99";"돼지고기(생삼겹살)";"100g";"3280";"2022-01";"국내,삼겹살";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721949";"8";"롯데마트 서울역점";"283";"닭고기(육계)";"1마리";"8980";"2022-01";"국내,동물복지";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721950";"8";"롯데마트 서울역점";"320";"달걀(30개)";"30개";"6490";"2022-01";"국내,행복생생란";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721951";"8";"롯데마트 서울역점";"261";"조기(생물,수입산)";"1마리";"4500";"2022-01";"수입,부세조기(중)";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721952";"8";"롯데마트 서울역점";"263";"명태(냉동,국산)";"1마리";"5980";"2022-01";"국내,냉동";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721953";"8";"롯데마트 서울역점";"254";"오징어(생물,국산)";"1마리";"7900";"2022-01";"국내,생물";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721954";"8";"롯데마트 서울역점";"266";"고등어(생물,국산)";"1마리";"3950";"2022-01";"국내,자반1손 7900";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721972";"60";"이마트 청계점";"305";"사과(부사, 300g)";"1개";"2300";"2022-01";"국내,앤비4과9200";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721973";"60";"이마트 청계점";"306";"배(신고, 600g)";"1개";"4200";"2022-01";"국내,신고";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721974";"60";"이마트 청계점";"271";"배추(중간)";"1통";"3580";"2022-01";"국내,알베기";"2022-01-27";"002";"대형마트";"140000";"중구"
"1721975";"60";"이마트 청계점";"133";"무(세척무)";"1개";"2450";"2022-01";"국내,제주";"2022-01-27";"002";"대형마트";"140000";"중구"
