"일련번호","시장/마트 번호","시장/마트 이름","품목 번호","품목 이름","실판매규격","가격(원)","년도-월","비고","시장유형 구분(시장/마트) 코드","시장유형 구분(시장/마트) 이름","자치구 코드","자치구 이름","점검일자"
297326,270,"성대전통시장",70,"어묵 300g","","0","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297349,270,"성대전통시장",27,"파프리카 200g","","1180","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297348,270,"성대전통시장",65,"통조림(참치) 150g","","0","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297347,270,"성대전통시장",24,"토마토 1kg ","","8650","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297346,270,"성대전통시장",21,"콩나물 500g","","1000","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297345,270,"성대전통시장",30,"콩 1kg","","10000","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297344,270,"성대전통시장",88,"콜라 1.5L(1병)","","3550","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297343,270,"성대전통시장",53,"케찹 500g","","2900","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297342,270,"성대전통시장",62,"컵라면 1개","","1300","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297341,270,"성대전통시장",82,"칫솔 4입 1개","","6900","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297340,270,"성대전통시장",59,"치즈 400g","","9800","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297339,270,"성대전통시장",81,"치약 160g 1개","","0","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297338,270,"성대전통시장",9,"참외 1개","","0","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297337,270,"성대전통시장",56,"참기름 320ml","","9900","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297336,270,"성대전통시장",97,"쪽파 1kg","","0","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297335,270,"성대전통시장",66,"즉석밥 210g 3개입","","0","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297334,270,"성대전통시장",38,"조기 1마리","","3300","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297333,270,"성대전통시장",43,"조개(바지락) 1kg","","0","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297332,270,"성대전통시장",104,"전복 5마리","","0","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297331,270,"성대전통시장",74,"우유 1L","","3200","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297330,270,"성대전통시장",40,"오징어 1마리","","7400","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297329,270,"성대전통시장",17,"오이(다다기) 1개","","1750","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297328,270,"성대전통시장",8,"오렌지 1개","","2470","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297327,270,"성대전통시장",93,"열무 1kg","","0","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297325,270,"성대전통시장",15,"양파 1망","","3500","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297324,270,"성대전통시장",91,"양배추 1포기","","0","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297323,270,"성대전통시장",18,"애호박 1개","","2500","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297322,270,"성대전통시장",1,"쌀 20kg 1포","","99000","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297321,270,"성대전통시장",52,"식초 1.8L","","4700","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297320,270,"성대전통시장",55,"식용유 1.8L","","6480","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297319,270,"성대전통시장",29,"시금치 1단","","2900","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297318,270,"성대전통시장",10,"수박 1통","","49800","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297317,270,"성대전통시장",75,"소주 360ml, 1병","","1590","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297316,270,"성대전통시장",67,"소시지 1kg","","7480","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297315,270,"성대전통시장",34,"소고기(수입) 100g","","2980","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297314,270,"성대전통시장",33,"소고기(국산) 100g","","13900","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297313,270,"성대전통시장",51,"설탕 1kg","","2700","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297312,270,"성대전통시장",83,"샴푸 680ml 1통","","0","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297311,270,"성대전통시장",77,"생수 500ml 1병","","650","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297310,270,"성대전통시장",98,"생강 1kg","","0","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297309,270,"성대전통시장",100,"새우젓 1kg","","0","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297308,270,"성대전통시장",44,"새우(흰다리새우) 1kg","","0","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297307,270,"성대전통시장",16,"상추 100g","","1100","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297306,270,"성대전통시장",79,"사이다 1.5L 1병","","2850","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297305,270,"성대전통시장",2,"사과 1개","","0","2023-01","","001","전통시장","590000","동작구","2023-01-23"
297304,270,"성대전통시장",64,"빵 3개입","","4000","2023-01","","001","전통시장","590000","동작구","2023-01-23"
